date,patient_in_icu,patient_on_ventilator_support
20/1/2021,246,96
21/1/2021,260,103
22/1/2021,251,102
23/1/2021,260,103
24/1/2021,265,102
25/1/2021,261,101
26/1/2021,280,111
27/1/2021,314,122
28/1/2021,303,118
29/1/2021,301,115
30/1/2021,319,120
31/1/2021,313,127
1/2/2021,316,137
2/2/2021,327,145
3/2/2021,307,141
4/2/2021,308,135
5/2/2021,310,134
6/2/2021,305,139
7/2/2021,292,140
8/2/2021,282,134
9/2/2021,289,127
10/2/2021,285,131
11/2/2021,259,122
12/2/2021,258,119
13/2/2021,263,118
14/2/2021,260,111
15/2/2021,260,112
16/2/2021,253,118
17/2/2021,231,115
18/2/2021,227,103
19/2/2021,220,104
20/2/2021,207,91
21/2/2021,209,91
22/2/2021,199,91
23/2/2021,196,92
24/2/2021,189,88
25/2/2021,205,91
26/2/2021,201,93
27/2/2021,190,99
28/2/2021,202,93
1/3/2021,198,90
2/3/2021,204,96
3/3/2021,195,95
4/3/2021,193,99
5/3/2021,184,87
6/3/2021,172,84
7/3/2021,174,81
8/3/2021,160,79
9/3/2021,155,76
10/3/2021,151,72
11/3/2021,147,61
12/3/2021,147,67
13/3/2021,162,70
14/3/2021,158,71
15/3/2021,155,70
16/3/2021,152,68
17/3/2021,154,64
18/3/2021,155,54
19/3/2021,151,57
20/3/2021,151,64
21/3/2021,154,65
22/3/2021,156,60
23/3/2021,148,62
24/3/2021,161,73
25/3/2021,157,72
26/3/2021,161,70
27/3/2021,167,72
28/3/2021,169,76
29/3/2021,166,73
30/3/2021,161,76
31/3/2021,164,81
1/4/2021,163,81
2/4/2021,168,78
3/4/2021,167,81
4/4/2021,186,94
5/4/2021,180,89
6/4/2021,189,88
7/4/2021,194,86
8/4/2021,186,81
9/4/2021,169,79
10/4/2021,194,81
11/4/2021,183,81
12/4/2021,188,84
13/4/2021,199,82
14/4/2021,204,79
15/4/2021,212,82
16/4/2021,227,91
17/4/2021,225,92
18/4/2021,219,90
19/4/2021,228,93
20/4/2021,249,95
21/4/2021,248,101
22/4/2021,248,115
23/4/2021,260,125
24/4/2021,272,124
25/4/2021,283,121
26/4/2021,300,133
27/4/2021,294,138
28/4/2021,306,151
29/4/2021,309,147
30/4/2021,328,161
1/5/2021,337,176
2/5/2021,345,175
3/5/2021,352,186
4/5/2021,338,181
5/5/2021,328,185
6/5/2021,354,199
7/5/2021,372,211
8/5/2021,393,210
9/5/2021,416,216
10/5/2021,434,224
11/5/2021,453,244
12/5/2021,469,244
13/5/2021,481,247
14/5/2021,482,250
15/5/2021,503,272
16/5/2021,520,272
17/5/2021,522,273
18/5/2021,531,277
19/5/2021,559,303
20/5/2021,587,330
21/5/2021,643,363
22/5/2021,652,370
23/5/2021,681,361
24/5/2021,711,369
25/5/2021,726,373
26/5/2021,756,377
27/5/2021,771,392
28/5/2021,808,403
29/5/2021,844,430
30/5/2021,846,419
31/5/2021,851,422
1/6/2021,872,419
2/6/2021,878,441
3/6/2021,880,446
4/6/2021,883,459
5/6/2021,886,446
6/6/2021,890,444
7/6/2021,902,447
8/6/2021,903,458
9/6/2021,905,453
10/6/2021,911,462
11/6/2021,912,458
12/6/2021,914,459
13/6/2021,917,452
14/6/2021,921,459
15/6/2021,922,450
16/6/2021,924,453
17/6/2021,909,441
18/6/2021,894,451
19/6/2021,886,441
20/6/2021,880,454
21/6/2021,880,452
23/6/2021,879,433
24/6/2021,869,438
25/6/2021,870,433
26/6/2021,866,435
27/6/2021,886,446
28/6/2021,899,451
29/6/2021,905,455
30/6/2021,905,452
1/7/2021,917,445
2/7/2021,905,443
6/7/2021,943,450
7/7/2021,948,441
8/7/2021,952,445
9/7/2021,959,465
10/7/2021,959,451
11/7/2021,961,455
12/7/2021,964,452
13/7/2021,972,456
15/7/2021,885,432
16/7/2021,896,459
17/7/2021,908,425
19/7/2021,915,435
20/7/2021,924,448
21/7/2021,927,459
23/7/2021,939,456
24/7/2021,950,468
25/7/2021,970,501
27/7/2021,"1,023",524
28/7/2021,"1,016",529
29/7/2021,"1,043",531
30/7/2021,"1,055",532
31/7/2021,"1,062",534
1/8/2021,"1,059",531
2/8/2021,"1,063",532
3/8/2021,"1,066",537
4/8/2021,"1,069",553
5/8/2021,"1,078",549
7/8/2021,"1,097",575
9/8/2021,"1,095",579
11/8/2021,"1,053",546
12/8/2021,"1,059",543
13/8/2021,"1,075",537
14/8/2021,"1,096",540
17/8/2021,"1,054",525
19/8/2021,"1,060",528
20/8/2021,1062,518
21/8/2021,1035,513
22/8/2021,1026,496
23/8/2021,1040,502
24/8/2021,1063,511
25/8/2021,1003,490
26/8/2021,990,487
27/8/2021,982,470
28/8/2021,986,451
29/8/2021,1009,477
30/8/2021,1033,476
31/8/2021,1005,464
